date,security,price
2023-05-12,3bb7355a-efe6-440e-84be-eee7cac73ba2,612
2023-05-12,afc803dc-c919-4bb1-b35d-d506f460cfe4,1011
2023-05-13,5b70a7f4-1978-4e1f-820f-5684230521cc,871
2023-05-13,3bb7355a-efe6-440e-84be-eee7cac73ba2,611
2023-05-13,afc803dc-c919-4bb1-b35d-d506f460cfe4,1009
2023-05-14,5b70a7f4-1978-4e1f-820f-5684230521cc,883
2023-05-14,3bb7355a-efe6-440e-84be-eee7cac73ba2,619
2023-05-14,afc803dc-c919-4bb1-b35d-d506f460cfe4,1023
2023-05-15,5b70a7f4-1978-4e1f-820f-5684230521cc,883
2023-05-15,3bb7355a-efe6-440e-84be-eee7cac73ba2,619
2023-05-15,afc803dc-c919-4bb1-b35d-d506f460cfe4,1023
2023-05-16,5b70a7f4-1978-4e1f-820f-5684230521cc,879
2023-05-16,3bb7355a-efe6-440e-84be-eee7cac73ba2,617
2023-05-16,afc803dc-c919-4bb1-b35d-d506f460cfe4,1018
2023-05-17,5b70a7f4-1978-4e1f-820f-5684230521cc,887
2023-05-17,3bb7355a-efe6-440e-84be-eee7cac73ba2,622
2023-05-17,afc803dc-c919-4bb1-b35d-d506f460cfe4,1028
2023-05-18,5b70a7f4-1978-4e1f-820f-5684230521cc,887
2023-05-18,3bb7355a-efe6-440e-84be-eee7cac73ba2,622
2023-05-18,afc803dc-c919-4bb1-b35d-d506f460cfe4,1028
2023-05-19,5b70a7f4-1978-4e1f-820f-5684230521cc,886
2023-05-19,3bb7355a-efe6-440e-84be-eee7cac73ba2,621
2023-05-19,afc803dc-c919-4bb1-b35d-d506f460cfe4,1026
2023-05-20,5b70a7f4-1978-4e1f-820f-5684230521cc,882
2023-05-20,3bb7355a-efe6-440e-84be-eee7cac73ba2,619
2023-05-20,afc803dc-c919-4bb1-b35d-d506f460cfe4,1022
2023-05-21,5b70a7f4-1978-4e1f-820f-5684230521cc,877
2023-05-21,3bb7355a-efe6-440e-84be-eee7cac73ba2,615
2023-05-21,afc803dc-c919-4bb1-b35d-d506f460cfe4,1016
2023-05-22,5b70a7f4-1978-4e1f-820f-5684230521cc,882
2023-05-22,3bb7355a-efe6-440e-84be-eee7cac73ba2,619
2023-05-22,afc803dc-c919-4bb1-b35d-d506f460cfe4,1022
2023-05-23,5b70a7f4-1978-4e1f-820f-5684230521cc,880
2023-05-23,3bb7355a-efe6-440e-84be-eee7cac73ba2,617
2023-05-23,afc803dc-c919-4bb1-b35d-d506f460cfe4,1020
2023-05-24,5b70a7f4-1978-4e1f-820f-5684230521cc,880
2023-05-24,3bb7355a-efe6-440e-84be-eee7cac73ba2,617
2023-05-24,afc803dc-c919-4bb1-b35d-d506f460cfe4,1020
2023-05-25,5b70a7f4-1978-4e1f-820f-5684230521cc,884
2023-05-25,3bb7355a-efe6-440e-84be-eee7cac73ba2,620
2023-05-25,afc803dc-c919-4bb1-b35d-d506f460cfe4,1024
2023-05-26,5b70a7f4-1978-4e1f-820f-5684230521cc,882
2023-05-26,3bb7355a-efe6-440e-84be-eee7cac73ba2,619
2023-05-26,afc803dc-c919-4bb1-b35d-d506f460cfe4,1022
2023-05-27,5b70a7f4-1978-4e1f-820f-5684230521cc,871
2023-05-27,3bb7355a-efe6-440e-84be-eee7cac73ba2,611
2023-05-27,afc803dc-c919-4bb1-b35d-d506f460cfe4,1009
2023-05-28,5b70a7f4-1978-4e1f-820f-5684230521cc,873
2023-05-28,3bb7355a-efe6-440e-84be-eee7cac73ba2,612
2023-05-28,afc803dc-c919-4bb1-b35d-d506f460cfe4,1011
2023-05-29,5b70a7f4-1978-4e1f-820f-5684230521cc,873
2023-05-29,3bb7355a-efe6-440e-84be-eee7cac73ba2,612
2023-05-29,afc803dc-c919-4bb1-b35d-d506f460cfe4,1011
2023-05-30,5b70a7f4-1978-4e1f-820f-5684230521cc,874
2023-05-30,3bb7355a-efe6-440e-84be-eee7cac73ba2,613
2023-05-30,afc803dc-c919-4bb1-b35d-d506f460cfe4,1013
2023-05-31,5b70a7f4-1978-4e1f-820f-5684230521cc,872
2023-05-31,3bb7355a-efe6-440e-84be-eee7cac73ba2,612
2023-05-31,afc803dc-c919-4bb1-b35d-d506f460cfe4,1010
2023-06-01,5b70a7f4-1978-4e1f-820f-5684230521cc,874
2023-06-01,3bb7355a-efe6-440e-84be-eee7cac73ba2,613
2023-06-01,afc803dc-c919-4bb1-b35d-d506f460cfe4,1013
2023-06-02,5b70a7f4-1978-4e1f-820f-5684230521cc,872
2023-06-02,3bb7355a-efe6-440e-84be-eee7cac73ba2,612
2023-06-02,afc803dc-c919-4bb1-b35d-d506f460cfe4,1010
2023-06-03,5b70a7f4-1978-4e1f-820f-5684230521cc,872
2023-06-03,3bb7355a-efe6-440e-84be-eee7cac73ba2,612
2023-06-03,afc803dc-c919-4bb1-b35d-d506f460cfe4,1010
2023-06-04,5b70a7f4-1978-4e1f-820f-5684230521cc,867
2023-06-04,3bb7355a-efe6-440e-84be-eee7cac73ba2,608
2023-06-04,afc803dc-c919-4bb1-b35d-d506f460cfe4,1004
2023-06-05,5b70a7f4-1978-4e1f-820f-5684230521cc,867
2023-06-05,3bb7355a-efe6-440e-84be-eee7cac73ba2,608
2023-06-05,afc803dc-c919-4bb1-b35d-d506f460cfe4,1004
2023-06-06,5b70a7f4-1978-4e1f-820f-5684230521cc,860
2023-06-06,3bb7355a-efe6-440e-84be-eee7cac73ba2,603
2023-06-06,afc803dc-c919-4bb1-b35d-d506f460cfe4,996
2023-06-07,5b70a7f4-1978-4e1f-820f-5684230521cc,848
2023-06-07,3bb7355a-efe6-440e-84be-eee7cac73ba2,595
2023-06-07,afc803dc-c919-4bb1-b35d-d506f460cfe4,982
2023-06-08,5b70a7f4-1978-4e1f-820f-5684230521cc,845
2023-06-08,3bb7355a-efe6-440e-84be-eee7cac73ba2,593
2023-06-08,afc803dc-c919-4bb1-b35d-d506f460cfe4,979
2023-06-09,5b70a7f4-1978-4e1f-820f-5684230521cc,860
2023-06-09,3bb7355a-efe6-440e-84be-eee7cac73ba2,603
2023-06-09,afc803dc-c919-4bb1-b35d-d506f460cfe4,996
